algorithm	alpha	beta	k	q	valid_precision@10	valid_hit@10	valid_mrr@10	valid_ndcg@10	valid_map@10	valid_itemcoverage@10	valid_averagepopularity@10	valid_tailpercentage@10	test_precision@10	test_hit@10	test_mrr@10	test_ndcg@10	test_map@10	test_itemcoverage@10	test_averagepopularity@10	test_tailpercentage@10	embedding_size	epochs	regularization	learning_rate	n_layers	reg_weight	gamma	ii_neighbor_num	initial_weight	lambda	negative_num	negative_weight	w1	w2	w3	w4	drop_ratio	ssl_tau	ssl_weight	eps	layer_cl	temperature
asymitemknn	0.5	0.8	1000.0	6.0	0.0566	0.3212	0.1527	0.0928	0.0512	0.1725	32.2178	0.0306	0.1174	0.4838	0.2572	0.1513	0.0939	0.1749	31.822	0.031																						
asymitemknn	0.4	0.6	500.0	5.0	0.0642	0.3654	0.1758	0.1027	0.0553	0.1417	46.6036	0.0092	0.1319	0.542	0.3051	0.1737	0.1077	0.1438	45.7732	0.0097																						
asymitemknn	0.8	0.5	60.0	7.0	0.0083	0.0658	0.0183	0.0098	0.0036	0.0685	1.6165	0.1327	0.0136	0.0926	0.0221	0.0125	0.0044	0.0695	1.5942	0.1339																						
asymitemknn	0.0	0.6	200.0	4.0	0.0273	0.2024	0.0906	0.0453	0.0226	0.078	20.1372	0.0	0.0552	0.3149	0.1633	0.0731	0.0368	0.0786	19.7821	0.0																						
asymitemknn	0.6	0.4	60.0	2.0	0.0399	0.2544	0.0722	0.0531	0.0237	0.1051	11.6644	0.0961	0.0688	0.354	0.099	0.0703	0.0321	0.107	11.4906	0.0974																						
asymitemknn	1.0	0.0	100.0	3.0	0.0019	0.0147	0.0087	0.0027	0.0011	0.0187	1.0226	0.2404	0.002	0.0143	0.0071	0.0029	0.0015	0.0194	1.0222	0.2389																						
asymitemknn	0.2	0.2	10000.0	1.0	0.049	0.3094	0.1343	0.0787	0.0394	0.0243	93.0462	0.0001	0.1058	0.4895	0.2548	0.1412	0.0801	0.0242	92.6911	0.0001																						
asymitemknn	0.8	1.0	500.0	5.0	0.0215	0.1415	0.0604	0.0358	0.0185	0.1154	6.161	0.2564	0.0398	0.1937	0.1004	0.0524	0.0288	0.1172	5.9579	0.2586																						
asymitemknn	0.5	0.5	60.0	7.0	0.0614	0.3644	0.147	0.0953	0.0507	0.1244	32.811	0.0358	0.1238	0.5296	0.2572	0.1556	0.0909	0.1273	32.3475	0.0373																						
asymitemknn	0.0	0.6	200.0	1.0	0.0273	0.2024	0.0906	0.0453	0.0226	0.078	20.1372	0.0	0.0552	0.3149	0.1633	0.0731	0.0368	0.0786	19.7821	0.0																						
asymitemknn	0.4	0.4	60.0	1.0	0.0667	0.3772	0.1662	0.104	0.0552	0.102	45.8417	0.0129	0.1332	0.5553	0.2899	0.1706	0.1017	0.1043	44.9781	0.0129																						
asymuserknn	0.6	0.2	1000.0	4.0	0.0425	0.2534	0.106	0.0644	0.0333	0.1581	19.9698	0.1378	0.085	0.3578	0.1702	0.1032	0.062	0.1608	19.7479	0.1394																						
asymuserknn	0.0	0.2	500.0	2.0	0.0473	0.279	0.1103	0.07	0.0357	0.121	23.1441	0.0859	0.0939	0.3865	0.1733	0.1092	0.0656	0.1233	22.678	0.0886																						
asymuserknn	0.4	0.4	500.0	2.0	0.0668	0.3782	0.1801	0.1069	0.0578	0.1356	53.3462	0.0252	0.1375	0.5458	0.3056	0.1763	0.1091	0.1389	52.6805	0.0272																						
asymuserknn	0.0	0.6	500.0	7.0	0.0605	0.3527	0.1663	0.0974	0.0519	0.09	73.9976	0.0083	0.1291	0.5477	0.2965	0.1682	0.1006	0.0918	73.3151	0.0091																						
asymuserknn	0.8	0.0	10000.0	7.0	0.0067	0.0422	0.0201	0.0088	0.004	0.0933	1.1239	0.3869	0.0107	0.0649	0.0303	0.0128	0.0061	0.0958	1.1154	0.3851																						
asymuserknn	0.8	0.0	200.0	6.0	0.0067	0.0422	0.019	0.0085	0.0038	0.0931	1.1236	0.3869	0.0108	0.0649	0.0289	0.0125	0.0057	0.0956	1.1185	0.3854																						
asymuserknn	0.5	0.6	500.0	5.0	0.0645	0.3703	0.1801	0.1042	0.0568	0.0933	71.455	0.0055	0.1334	0.5611	0.3119	0.1751	0.1067	0.0961	70.7486	0.0062																						
asymuserknn	0.4	0.8	10000.0	6.0	0.0576	0.3458	0.1594	0.0921	0.0483	0.0583	86.7541	0.0017	0.1197	0.5315	0.289	0.1582	0.0928	0.0599	86.3012	0.0025																						
asymuserknn	0.8	0.0	60.0	7.0	0.0064	0.0403	0.0173	0.0078	0.0035	0.0924	1.0958	0.3873	0.0106	0.0639	0.0272	0.012	0.0055	0.0947	1.0865	0.3854																						
asymuserknn	0.4	0.5	500.0	3.0	0.0657	0.3713	0.1805	0.1053	0.0574	0.1126	63.8627	0.0135	0.1408	0.5639	0.3158	0.1818	0.1121	0.1154	62.9523	0.0147																						
asymuserknn	0.8	1.0	10000.0	6.0	0.0503	0.3124	0.1427	0.0803	0.0412	0.0363	97.0717	0.0001	0.1054	0.4828	0.2576	0.1393	0.0793	0.0373	96.5074	0.0001																						
asymuserknn	0.6	0.8	100.0	1.0	0.0615	0.3576	0.175	0.1	0.0547	0.0702	70.3551	0.0009	0.134	0.5506	0.308	0.174	0.1075	0.0728	69.8605	0.0013																						
asymuserknn	0.4	0.4	500.0	6.0	0.0668	0.3782	0.1801	0.1069	0.0578	0.1356	53.3462	0.0252	0.1375	0.5458	0.3056	0.1763	0.1091	0.1389	52.6805	0.0272																						
asymuserknn	0.0	0.4	500.0	7.0	0.0628	0.3546	0.1714	0.1004	0.0538	0.1174	56.1306	0.0267	0.1315	0.5448	0.2946	0.1682	0.1025	0.1195	55.2861	0.0289																						
asymuserknn	0.8	0.4	60.0	7.0	0.0461	0.2888	0.1216	0.0747	0.0397	0.1579	20.1465	0.0678	0.0922	0.4027	0.1975	0.1145	0.0688	0.161	20.0544	0.069																						
asymuserknn	0.6	0.8	1000.0	2.0	0.058	0.3428	0.1618	0.0929	0.0491	0.0608	85.2371	0.0008	0.1211	0.5286	0.2907	0.1597	0.0943	0.063	84.752	0.0012																						
asymuserknn	1.0	0.8	1000.0	5.0	0.0591	0.3487	0.1634	0.0949	0.0504	0.0655	78.9665	0.0007	0.1195	0.5239	0.2905	0.1592	0.094	0.0664	78.6374	0.0007																						
asymuserknn	1.0	0.5	100.0	2.0	0.0473	0.277	0.12	0.075	0.04	0.1176	27.9913	0.0423	0.098	0.4399	0.2058	0.1225	0.0736	0.1207	27.549	0.0428																						
asymuserknn	0.6	0.2	10000.0	4.0	0.0425	0.2534	0.106	0.0644	0.0333	0.1581	19.9698	0.1378	0.085	0.3578	0.1702	0.1032	0.062	0.1608	19.7479	0.1394																						
asymuserknn	0.6	0.6	100.0	7.0	0.0657	0.3684	0.1752	0.1039	0.0567	0.1123	52.0348	0.0081	0.1402	0.5639	0.3021	0.1778	0.1102	0.1149	51.5448	0.0087																						
asymuserknn	0.4	0.4	200.0	2.0	0.0653	0.3723	0.1748	0.1038	0.0559	0.1423	45.9139	0.0266	0.1354	0.5515	0.2954	0.1713	0.1049	0.1456	45.4258	0.0288																						
asymuserknn	0.2	0.4	500.0	3.0	0.0635	0.3635	0.174	0.1023	0.0554	0.1263	55.4691	0.0234	0.1364	0.5515	0.3041	0.1745	0.1077	0.1288	54.6921	0.0255																						
asymuserknn	0.4	0.4	500.0	1.0	0.0668	0.3782	0.1801	0.1069	0.0578	0.1356	53.3462	0.0252	0.1375	0.5458	0.3056	0.1763	0.1091	0.1389	52.6805	0.0272																						
asymuserknn	0.2	1.0	200.0	1.0	0.0529	0.3183	0.1438	0.0847	0.0442	0.0354	95.8309	0.0001	0.1112	0.5019	0.268	0.147	0.0855	0.0362	95.3453	0.0001																						
asymuserknn	0.5	0.4	60.0	1.0	0.0568	0.3369	0.1433	0.0875	0.0458	0.1772	26.0366	0.0489	0.111	0.4666	0.2371	0.1382	0.0842	0.181	25.7892	0.0514																						
asymuserknn	0.4	0.5	1000.0	4.0	0.0657	0.3733	0.1783	0.1048	0.0571	0.1125	64.1117	0.0135	0.1407	0.5677	0.3165	0.1817	0.1115	0.1154	63.2195	0.0147																						
asymuserknn	0.4	1.0	500.0	2.0	0.0507	0.3202	0.1434	0.0812	0.0415	0.0356	98.6727	0.0001	0.1057	0.4866	0.2566	0.1399	0.0798	0.036	98.1465	0.0001																						
asymuserknn	0.5	0.2	500.0	1.0	0.0467	0.277	0.1128	0.0691	0.0352	0.1645	22.1064	0.1084	0.0923	0.3912	0.1892	0.1125	0.0672	0.1682	21.789	0.1097																						
asymuserknn	0.2	0.4	100.0	6.0	0.0634	0.3674	0.1609	0.0985	0.0519	0.146	37.3906	0.039	0.1227	0.5124	0.2687	0.155	0.0948	0.1487	36.7729	0.041																						
asymuserknn	0.4	0.4	60.0	6.0	0.0566	0.331	0.1422	0.0867	0.045	0.1734	26.7627	0.0508	0.1118	0.4628	0.2332	0.1386	0.0846	0.1771	26.3098	0.0529																						
asymuserknn	1.0	0.6	200.0	5.0	0.0614	0.3556	0.1608	0.0987	0.0542	0.1002	49.7081	0.0142	0.1204	0.5153	0.2784	0.1569	0.0953	0.1023	49.2407	0.0147																						
asymuserknn	0.4	0.0	500.0	6.0	0.0126	0.0953	0.0369	0.0173	0.0074	0.1367	1.9109	0.185	0.0232	0.1326	0.0445	0.024	0.0105	0.139	1.8269	0.1853																						
asymuserknn	0.0	0.4	1000.0	6.0	0.0627	0.3546	0.1722	0.1006	0.0539	0.1174	56.2666	0.0267	0.1315	0.5448	0.2938	0.168	0.1023	0.1195	55.4031	0.0289																						
asymuserknn	0.5	0.0	10000.0	3.0	0.0113	0.0855	0.0321	0.0149	0.0063	0.1354	1.6835	0.2106	0.0189	0.1116	0.0383	0.0199	0.0086	0.138	1.6338	0.2113																						
asymuserknn	0.4	0.6	500.0	1.0	0.063	0.3635	0.1772	0.1021	0.0555	0.0909	72.5015	0.006	0.1334	0.5649	0.3124	0.1748	0.1059	0.0937	71.7676	0.0069																						
asymuserknn	1.0	0.5	200.0	4.0	0.0514	0.2976	0.1372	0.0841	0.0462	0.1131	36.572	0.0398	0.1082	0.4676	0.2364	0.1371	0.0834	0.116	36.1324	0.0401																						
asymuserknn	0.4	1.0	500.0	6.0	0.0507	0.3202	0.1434	0.0812	0.0415	0.0356	98.6727	0.0001	0.1057	0.4866	0.2566	0.1399	0.0798	0.036	98.1465	0.0001																						
asymuserknn	0.8	0.2	10000.0	2.0	0.0334	0.1965	0.0801	0.0518	0.0275	0.1316	14.0369	0.225	0.0643	0.2719	0.131	0.079	0.0476	0.1339	13.8308	0.2248																						
asymuserknn	0.2	0.0	60.0	5.0	0.0136	0.1002	0.0347	0.0171	0.0069	0.1237	1.8607	0.1557	0.0222	0.1288	0.0404	0.0218	0.0088	0.1256	1.7602	0.1565																						
asymuserknn	0.0	0.8	500.0	2.0	0.0555	0.3379	0.1546	0.0895	0.0469	0.0583	87.7039	0.0028	0.1151	0.5286	0.2848	0.1543	0.0897	0.0599	87.1538	0.0031																						
asymuserknn	0.4	0.4	100.0	3.0	0.0616	0.3576	0.1628	0.098	0.0525	0.1592	35.4308	0.0356	0.1256	0.5219	0.2679	0.1572	0.0958	0.1623	34.9114	0.038																						
asymuserknn	0.8	0.4	1000.0	1.0	0.0609	0.3477	0.1642	0.0989	0.0549	0.1367	41.8494	0.0513	0.1212	0.5095	0.2687	0.1555	0.0957	0.1404	41.2519	0.0519																						
asymuserknn	0.6	0.5	500.0	4.0	0.0674	0.3821	0.184	0.1076	0.0586	0.1194	60.3806	0.0162	0.1397	0.5639	0.3197	0.1815	0.1131	0.1221	59.4821	0.0168																						
asymuserknn	0.6	0.5	10000.0	4.0	0.0672	0.3802	0.1837	0.1073	0.0584	0.1194	60.598	0.0162	0.1391	0.5658	0.3202	0.1811	0.1126	0.1221	59.7234	0.0168																						
asymuserknn	0.6	0.5	100.0	4.0	0.0644	0.3635	0.1702	0.102	0.0551	0.1387	42.0669	0.0197	0.1319	0.5372	0.2861	0.1677	0.1036	0.1417	41.6729	0.0205																						
asymuserknn	0.6	0.5	60.0	7.0	0.0629	0.3635	0.1602	0.0978	0.0517	0.1566	34.6766	0.0231	0.1263	0.521	0.2707	0.159	0.0988	0.16	34.2804	0.024																						
asymuserknn	0.6	0.8	200.0	4.0	0.0604	0.3536	0.1709	0.0986	0.0532	0.0628	79.9353	0.0008	0.126	0.5286	0.2989	0.1662	0.1015	0.0649	79.523	0.0012																						
asymuserknn	0.6	0.5	1000.0	5.0	0.0672	0.3802	0.1837	0.1073	0.0584	0.1194	60.598	0.0162	0.1391	0.5658	0.3202	0.1811	0.1126	0.1221	59.7234	0.0168																						
asymuserknn	0.5	0.6	1000.0	5.0	0.0645	0.3703	0.1809	0.1043	0.0568	0.0933	71.6417	0.0055	0.1328	0.563	0.3118	0.1746	0.106	0.096	70.9662	0.0062																						
asymuserknn	1.0	1.0	10000.0	4.0	0.0503	0.3163	0.1439	0.0808	0.0415	0.0359	94.8939	0.0	0.1059	0.4876	0.2626	0.1408	0.08	0.0368	94.3621	0.0																						
asymuserknn	0.2	0.5	100.0	7.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	0.2	0.2	100.0	7.0	0.0335	0.2112	0.0783	0.0479	0.023	0.1424	9.5339	0.1135	0.0649	0.2882	0.1275	0.075	0.0423	0.1455	9.1958	0.1164																						
asymuserknn	0.2	0.8	100.0	7.0	0.0622	0.3625	0.1689	0.0992	0.0533	0.0659	75.8065	0.0022	0.1329	0.5534	0.3089	0.1734	0.1055	0.0671	75.3368	0.0029																						
asymuserknn	0.2	0.0	100.0	7.0	0.0121	0.0894	0.0335	0.0158	0.0066	0.1212	1.5899	0.1634	0.0214	0.1164	0.0415	0.0213	0.0089	0.1234	1.5472	0.1647																						
asymuserknn	0.2	1.0	100.0	7.0	0.0556	0.334	0.15	0.089	0.0471	0.0383	89.8972	0.0001	0.119	0.5229	0.2816	0.1563	0.0928	0.0393	89.3163	0.0001																						
asymuserknn	0.2	0.6	100.0	7.0	0.0667	0.3762	0.1721	0.1058	0.0576	0.1019	60.4746	0.0097	0.1402	0.5611	0.3104	0.1794	0.1107	0.105	59.6925	0.0104																						
asymuserknn	0.2	0.5	100.0	3.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	0.0	0.0	100.0	3.0	0.0098	0.0727	0.0287	0.0137	0.0061	0.1023	1.5444	0.1582	0.0176	0.104	0.0329	0.0173	0.007	0.1038	1.4923	0.1595																						
asymuserknn	0.8	0.8	100.0	3.0	0.0624	0.3585	0.1715	0.0994	0.0546	0.0735	66.6084	0.0004	0.1329	0.5496	0.3044	0.1723	0.1053	0.075	66.0658	0.0007																						
asymuserknn	0.2	0.5	200.0	3.0	0.0666	0.3694	0.1745	0.1053	0.057	0.111	59.7103	0.0139	0.1415	0.5649	0.3131	0.1814	0.1124	0.1141	59.0138	0.0152																						
asymuserknn	0.5	0.6	100.0	7.0	0.0662	0.3684	0.1765	0.1049	0.0579	0.1097	54.6584	0.007	0.1404	0.5611	0.3061	0.1788	0.1108	0.1125	54.1197	0.0078																						
asymuserknn	0.2	0.5	60.0	7.0	0.0656	0.3802	0.1712	0.1043	0.056	0.1417	41.8505	0.0249	0.1334	0.5382	0.2893	0.1684	0.1038	0.1455	41.2733	0.0269																						
asymuserknn	1.0	1.0	100.0	7.0	0.0568	0.333	0.1565	0.0899	0.0474	0.0405	82.6687	0.0	0.1157	0.5038	0.2783	0.1543	0.0924	0.041	82.2653	0.0																						
asymuserknn	0.0	0.2	200.0	7.0	0.0406	0.2377	0.0922	0.059	0.0298	0.12	15.3477	0.0991	0.0787	0.3282	0.1392	0.0892	0.0516	0.1228	14.8985	0.1018																						
asymuserknn	0.8	0.0	60.0	3.0	0.0064	0.0403	0.0173	0.0078	0.0035	0.0924	1.0958	0.3873	0.0106	0.0639	0.0272	0.012	0.0055	0.0947	1.0865	0.3854																						
asymuserknn	0.2	0.5	100.0	2.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	0.5	0.8	1000.0	2.0	0.0581	0.3418	0.1606	0.0927	0.0489	0.0596	86.0406	0.0014	0.1205	0.5305	0.2909	0.1593	0.0937	0.0613	85.6491	0.0021																						
asymuserknn	0.2	0.5	100.0	5.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	1.0	0.6	100.0	5.0	0.0558	0.3261	0.1468	0.0901	0.0491	0.1073	38.4718	0.0158	0.1122	0.4885	0.2497	0.1434	0.0862	0.1099	38.0422	0.0163																						
asymuserknn	0.8	0.5	60.0	5.0	0.0566	0.3389	0.1443	0.0901	0.0477	0.148	29.4115	0.0269	0.1107	0.4809	0.2427	0.1399	0.0851	0.1512	28.9566	0.0285																						
asymuserknn	0.0	0.5	200.0	7.0	0.0642	0.3615	0.1739	0.1022	0.0546	0.1057	61.4078	0.0158	0.1367	0.5563	0.307	0.1762	0.1081	0.1085	60.6437	0.0164																						
asymuserknn	0.2	0.2	1000.0	5.0	0.0506	0.2917	0.1181	0.0744	0.0382	0.1421	24.6119	0.083	0.0974	0.4008	0.1861	0.1155	0.07	0.1451	24.2081	0.0849																						
asymuserknn	0.2	0.0	100.0	6.0	0.0121	0.0894	0.0335	0.0158	0.0066	0.1212	1.5899	0.1634	0.0214	0.1164	0.0415	0.0213	0.0089	0.1234	1.5472	0.1647																						
asymuserknn	0.5	0.5	100.0	3.0	0.0661	0.3723	0.1685	0.1028	0.0561	0.1358	44.9718	0.0184	0.1374	0.5544	0.2922	0.1722	0.1054	0.1391	44.5143	0.0191																						
asymuserknn	1.0	0.5	100.0	5.0	0.0473	0.277	0.12	0.075	0.04	0.1176	27.9913	0.0423	0.098	0.4399	0.2058	0.1225	0.0736	0.1207	27.549	0.0428																						
asymuserknn	0.2	0.8	60.0	5.0	0.0639	0.3752	0.1726	0.1021	0.0549	0.0757	69.4981	0.0025	0.1409	0.5658	0.3124	0.1814	0.1116	0.0779	68.9536	0.0031																						
asymuserknn	0.2	0.6	200.0	1.0	0.0636	0.3664	0.1718	0.1011	0.0542	0.0928	68.4284	0.0079	0.1372	0.5582	0.3111	0.1778	0.1093	0.0955	67.8197	0.0086																						
asymuserknn	0.0	1.0	100.0	7.0	0.0539	0.3251	0.1505	0.0876	0.0463	0.0375	90.964	0.0001	0.1168	0.5105	0.2773	0.1541	0.0915	0.0384	90.4506	0.0001																						
asymuserknn	0.8	0.5	1000.0	5.0	0.0666	0.3752	0.1737	0.1059	0.0583	0.1226	55.1929	0.0221	0.1345	0.5487	0.3049	0.1738	0.1075	0.1251	54.4146	0.0232																						
asymuserknn	0.5	0.5	100.0	2.0	0.0661	0.3723	0.1685	0.1028	0.0561	0.1358	44.9718	0.0184	0.1374	0.5544	0.2922	0.1722	0.1054	0.1391	44.5143	0.0191																						
asymuserknn	1.0	0.0	60.0	6.0	0.0045	0.0344	0.0175	0.0069	0.0032	0.0617	1.071	0.5918	0.0083	0.0477	0.0187	0.0091	0.0043	0.0633	1.0683	0.5887																						
asymuserknn	0.2	0.5	200.0	2.0	0.0666	0.3694	0.1745	0.1053	0.057	0.111	59.7103	0.0139	0.1415	0.5649	0.3131	0.1814	0.1124	0.1141	59.0138	0.0152																						
asymuserknn	0.2	0.8	1000.0	7.0	0.056	0.3409	0.1576	0.0906	0.0477	0.0575	87.6391	0.002	0.1173	0.5267	0.2882	0.1563	0.0913	0.0589	87.1116	0.0027																						
asymuserknn	0.0	0.4	100.0	3.0	0.0599	0.3487	0.1534	0.0931	0.0489	0.1309	37.4004	0.0473	0.1209	0.4981	0.2608	0.1511	0.0917	0.1334	36.8432	0.0493																						
asymuserknn	0.2	0.5	500.0	2.0	0.0646	0.3713	0.177	0.1036	0.0558	0.1064	65.7296	0.0132	0.1349	0.5534	0.3107	0.1763	0.1086	0.1096	64.8417	0.0144																						
asymuserknn	0.8	0.6	100.0	1.0	0.0627	0.3556	0.1628	0.0984	0.0537	0.1161	46.1392	0.0104	0.1288	0.5353	0.2904	0.166	0.1022	0.1191	45.6913	0.0108																						
asymuserknn	0.4	1.0	10000.0	7.0	0.0507	0.3193	0.1422	0.0809	0.0414	0.0356	98.7833	0.0001	0.1052	0.4847	0.2565	0.1393	0.0794	0.036	98.2506	0.0001																						
asymuserknn	0.5	0.2	100.0	2.0	0.0343	0.2122	0.0887	0.0511	0.0256	0.1652	10.5845	0.1339	0.0671	0.2901	0.1374	0.079	0.045	0.1685	10.41	0.135																						
asymuserknn	1.0	0.0	100.0	2.0	0.0045	0.0344	0.0165	0.0068	0.0031	0.0617	1.0724	0.5916	0.0084	0.0496	0.0182	0.0089	0.0041	0.0633	1.0698	0.5884																						
asymuserknn	0.2	0.4	60.0	3.0	0.0579	0.3369	0.1426	0.0891	0.0466	0.1547	27.4779	0.0572	0.1113	0.4609	0.2384	0.1383	0.0837	0.158	26.9281	0.0593																						
asymuserknn	0.0	0.5	100.0	5.0	0.0654	0.3703	0.1707	0.103	0.0551	0.1176	52.193	0.0206	0.1359	0.5477	0.2968	0.1719	0.1046	0.1203	51.5298	0.0216																						
asymuserknn	0.8	0.6	10000.0	7.0	0.0661	0.3782	0.1808	0.1061	0.058	0.1014	65.7584	0.0098	0.1345	0.5573	0.317	0.1772	0.1091	0.1037	64.951	0.0103																						
asymuserknn	0.2	1.0	100.0	6.0	0.0556	0.334	0.15	0.089	0.0471	0.0383	89.8972	0.0001	0.119	0.5229	0.2816	0.1563	0.0928	0.0393	89.3163	0.0001																						
asymuserknn	0.5	0.5	500.0	5.0	0.0669	0.3831	0.181	0.1064	0.0577	0.1158	62.3108	0.0154	0.141	0.5668	0.3187	0.1829	0.114	0.1192	61.2917	0.016																						
asymuserknn	1.0	0.2	100.0	7.0	0.0119	0.0855	0.041	0.0214	0.0111	0.0821	3.276	0.4255	0.022	0.1288	0.0627	0.0285	0.0139	0.0846	3.0637	0.4254																						
asymuserknn	0.2	0.0	200.0	2.0	0.0137	0.1002	0.0371	0.0179	0.0076	0.1223	1.774	0.1619	0.0237	0.1365	0.0449	0.0237	0.0097	0.1245	1.6899	0.1632																						
asymuserknn	0.4	0.4	60.0	1.0	0.0566	0.331	0.1422	0.0867	0.045	0.1734	26.7627	0.0508	0.1118	0.4628	0.2332	0.1386	0.0846	0.1771	26.3098	0.0529																						
asymuserknn	0.2	0.5	1000.0	7.0	0.065	0.3723	0.1773	0.1039	0.0559	0.1064	65.9172	0.0132	0.1343	0.5544	0.3106	0.1758	0.1081	0.1095	65.0318	0.0144																						
asymuserknn	0.0	0.8	10000.0	7.0	0.0553	0.3369	0.154	0.0892	0.0468	0.0583	87.8304	0.0028	0.1144	0.5267	0.2847	0.1538	0.0894	0.0599	87.291	0.0031																						
asymuserknn	0.8	0.6	100.0	7.0	0.0627	0.3556	0.1628	0.0984	0.0537	0.1161	46.1392	0.0104	0.1288	0.5353	0.2904	0.166	0.1022	0.1191	45.6913	0.0108																						
asymuserknn	0.6	1.0	100.0	2.0	0.0555	0.3271	0.1597	0.0909	0.0489	0.0407	86.5687	0.0001	0.12	0.5162	0.2849	0.1587	0.096	0.0411	86.1886	0.0001																						
asymuserknn	0.5	0.5	500.0	6.0	0.0669	0.3831	0.181	0.1064	0.0577	0.1158	62.3108	0.0154	0.141	0.5668	0.3187	0.1829	0.114	0.1192	61.2917	0.016																						
asymuserknn	0.2	0.2	100.0	1.0	0.0335	0.2112	0.0783	0.0479	0.023	0.1424	9.5339	0.1135	0.0649	0.2882	0.1275	0.075	0.0423	0.1455	9.1958	0.1164																						
asymuserknn	1.0	0.5	60.0	7.0	0.0416	0.2456	0.1063	0.0656	0.0348	0.1218	21.9194	0.0489	0.0876	0.3893	0.186	0.1093	0.0659	0.1252	21.6869	0.0495																						
asymuserknn	0.2	0.0	200.0	7.0	0.0137	0.1002	0.0371	0.0179	0.0076	0.1223	1.774	0.1619	0.0237	0.1365	0.0449	0.0237	0.0097	0.1245	1.6899	0.1632																						
asymuserknn	0.4	0.5	1000.0	7.0	0.0657	0.3733	0.1783	0.1048	0.0571	0.1125	64.1117	0.0135	0.1407	0.5677	0.3165	0.1817	0.1115	0.1154	63.2195	0.0147																						
asymuserknn	0.2	0.4	100.0	7.0	0.0634	0.3674	0.1609	0.0985	0.0519	0.146	37.3906	0.039	0.1227	0.5124	0.2687	0.155	0.0948	0.1487	36.7729	0.041																						
asymuserknn	0.0	0.8	10000.0	1.0	0.0553	0.3369	0.154	0.0892	0.0468	0.0583	87.8304	0.0028	0.1144	0.5267	0.2847	0.1538	0.0894	0.0599	87.291	0.0031																						
asymuserknn	0.8	0.5	100.0	5.0	0.0605	0.3497	0.1557	0.0948	0.0507	0.1378	35.8893	0.0248	0.1185	0.5076	0.2572	0.1494	0.0905	0.1411	35.4681	0.026																						
asymuserknn	0.6	0.6	100.0	4.0	0.0657	0.3684	0.1752	0.1039	0.0567	0.1123	52.0348	0.0081	0.1402	0.5639	0.3021	0.1778	0.1102	0.1149	51.5448	0.0087																						
asymuserknn	0.5	0.2	60.0	7.0	0.0279	0.1788	0.071	0.0406	0.0197	0.1634	6.6121	0.1491	0.054	0.2481	0.1172	0.0645	0.0359	0.1667	6.2353	0.1521																						
asymuserknn	1.0	0.5	200.0	7.0	0.0514	0.2976	0.1372	0.0841	0.0462	0.1131	36.572	0.0398	0.1082	0.4676	0.2364	0.1371	0.0834	0.116	36.1324	0.0401																						
asymuserknn	0.2	0.0	1000.0	2.0	0.014	0.1061	0.0396	0.0189	0.008	0.1233	2.039	0.1601	0.0266	0.1441	0.0488	0.0263	0.011	0.1258	1.949	0.1612																						
asymuserknn	0.4	0.5	100.0	3.0	0.0667	0.3811	0.1705	0.1049	0.0565	0.1336	47.1607	0.0171	0.1397	0.5677	0.3	0.176	0.1076	0.1361	46.5618	0.0185																						
asymuserknn	0.2	0.4	10000.0	3.0	0.0638	0.3635	0.1755	0.1027	0.0556	0.1262	55.6813	0.0234	0.1361	0.5534	0.304	0.1742	0.1071	0.1286	54.8828	0.0255																						
asymuserknn	0.0	0.8	100.0	5.0	0.0616	0.3615	0.1629	0.0972	0.0514	0.0648	77.7034	0.0028	0.1299	0.5458	0.3056	0.171	0.1029	0.0664	77.141	0.0032																						
asymuserknn	0.8	0.5	100.0	3.0	0.0605	0.3497	0.1557	0.0948	0.0507	0.1378	35.8893	0.0248	0.1185	0.5076	0.2572	0.1494	0.0905	0.1411	35.4681	0.026																						
asymuserknn	0.2	1.0	500.0	2.0	0.0504	0.3134	0.1388	0.0802	0.041	0.0348	99.1223	0.0001	0.1055	0.4905	0.2565	0.1397	0.0793	0.0356	98.4623	0.0001																						
asymuserknn	0.2	0.5	100.0	4.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	0.5	0.5	200.0	4.0	0.0669	0.3733	0.1746	0.1051	0.0571	0.1201	55.167	0.0157	0.1414	0.5639	0.3176	0.1817	0.1129	0.1241	54.4628	0.0164																						
asymuserknn	1.0	0.2	60.0	2.0	0.0087	0.0668	0.0331	0.0153	0.0076	0.0806	2.092	0.4347	0.016	0.1002	0.05	0.0207	0.0098	0.0828	2.0086	0.4335																						
